# ID	Field	StarID	I	V	P_1	dP_1	A_1
 10664	 224.5	61956	16.340	18.437	0.5445583	0.0000002	0.580
 10665	 166.5	160158	16.337	17.799	0.3195480	0.0000003	0.255
 10666	 224.7	65109	16.141	18.064	0.5769152	0.0000001	0.689
 10667	 105.5	76042	16.229	17.846	0.4941521	0.0000006	0.340
 10668	 158.4	6451	17.009	18.517	0.4495224	0.0000002	0.837
 10669	 126.4	131709	15.528	16.339	0.3210434	0.0000006	0.260
 10670	 189.5	201296	15.882	17.044	0.4763676	0.0000005	0.667
 10671	 174.7	150687	16.093	17.688	0.5222553	0.0000003	0.701
 10672	 189.7	14454	14.575	15.824	0.5959704	0.0000001	0.675
 10673	 215.1	208421	15.735	17.156	0.6225978	0.0000002	0.304
 10674	 206.2	257030	15.070	16.216	0.2931624	0.0000001	0.280
 10675	 232.4	19092	17.939	20.749	0.3193980	0.0000003	0.242
 10676	 189.6	199058	15.640	16.990	0.6075522	0.0000001	0.685
 10677	 144.6	50160	16.197	17.556	0.5778978	0.0000071	0.320
 10678	 166.8	46160	15.328	16.728	0.6555932	0.0000003	0.580
 10679	 174.5	135757	16.043	17.829	0.6566302	0.0000013	0.503
 10680	 206.2	43594	15.868	16.895	0.2753726	0.0000000	0.295
 10681	 224.8	126322	16.273	18.112	0.6396660	0.0000005	0.301
 10682	 224.8	126335	16.014	17.765	0.5886738	0.0000002	0.459
 10683	 151.2	191	16.419	17.613	0.3152215	0.0000010	0.280
 10684	 224.7	194079	16.146	17.967	0.5383963	0.0000001	0.669
 10685	 224.6	7644	16.108	17.968	0.3000729	0.0000001	0.259
 10686	 206.2	188224	17.187	18.591	0.5466455	0.0000001	0.606
 10687	 224.5	68588	16.098	18.183	0.6766724	0.0000003	0.548
 10688	 183.3	57394	16.216	17.698	0.3202890	0.0000002	0.262
 10689	 174.3	105381	16.152	17.655	0.3495304	0.0000008	0.276
 10690	 174.2	66	15.735	-99.99	0.5611020	0.0000008	0.541
 10691	 158.4	60327	16.408	17.956	0.4926155	0.0000005	0.725
 10692	 105.8	86493	15.739	17.061	0.7199323	0.0000002	0.586
 10693	 189.7	142787	15.970	17.437	0.6182720	0.0000004	0.170
 10694	 151.3	45161	15.847	17.216	0.4644815	0.0000038	0.708
 10695	 224.7	134450	16.245	18.102	0.5962062	0.0000003	0.571
 10696	 224.5	128798	16.578	18.523	0.5287367	0.0000002	0.443
 10697	 166.5	103963	16.460	17.889	0.2922218	0.0000002	0.274
 10698	 183.2	51895	16.110	17.822	0.5471256	0.0000002	0.732
 10699	 183.2	210	15.776	17.368	0.6734271	0.0000005	0.209
 10700	 189.7	142607	15.476	16.881	0.5219876	0.0000010	0.297
 10701	 189.7	142795	15.950	17.227	0.3207257	0.0000002	0.230
 10702	 215.1	23560	16.166	17.548	0.4600791	0.0000002	0.518
 10703	 158.1	57105	15.993	17.410	0.4427753	0.0000001	0.846
 10704	 232.2	30196	16.243	18.003	0.4173777	0.0000008	0.234
 10705	 232.2	200626	17.147	19.384	0.3599281	0.0000001	0.808
 10706	 158.3	12845	16.084	17.290	0.3218907	0.0000004	0.249
 10707	 224.5	68623	16.167	18.096	0.2662045	0.0000001	0.209
 10709	 166.8	46284	15.821	17.109	0.3335709	0.0000004	0.269
 10710	 232.3	173676	17.653	20.294	0.4205407	0.0000001	0.816
 10711	 158.4	155163	15.764	17.101	0.4975852	0.0000001	0.782
 10713	 215.2	159609	15.855	17.420	0.6084680	0.0000002	0.275
 10714	 183.1	586	16.841	18.321	0.3166494	0.0000001	0.251
 10715	 215.1	208514	15.824	17.122	0.4895628	0.0000001	0.621
 10716	 224.8	66402	16.013	17.568	0.4529289	0.0000001	0.812
 10717	 105.6	23454	15.921	17.321	0.3080014	0.0000001	0.260
 10718	 144.6	90704	16.171	17.495	0.3264836	0.0000008	0.270
 10719	 135.4	53166	15.896	17.038	0.4279729	0.0000014	0.790
 10720	 224.5	128877	16.486	18.460	0.5387081	0.0000007	0.419
 10721	 183.2	164898	15.920	17.539	0.5940583	0.0000007	0.316
 10722	 224.6	70035	17.538	19.376	0.5053120	0.0000006	0.529
 10723	 144.7	136204	16.800	18.058	0.2403863	0.0000005	0.277
 10724	 151.4	5318	16.317	17.615	0.2813051	0.0000006	0.285
 10725	 126.2	49918	15.170	15.941	0.2893921	0.0000004	0.284
 10726	 224.5	68711	16.755	18.277	0.2724072	0.0000001	0.295
 10727	 166.2	55012	16.145	17.680	0.6173956	0.0000005	0.385
 10728	 174.2	49085	16.624	18.294	0.4816878	0.0000019	0.371
 10729	 105.8	211074	15.329	16.874	0.3318666	0.0000001	0.276
 10730	 183.3	64392	16.346	17.941	0.4350669	0.0000000	0.859
 10731	 215.3	35157	16.890	18.487	0.5760267	0.0000035	0.094
 10732	 105.8	86800	16.231	17.607	0.5476514	0.0000002	0.534
 10733	 166.1	162483	16.179	17.599	0.2931379	0.0000003	0.270
 10734	 224.5	7560	16.663	18.531	0.5357743	0.0000001	0.670
 10735	 189.6	146266	16.041	17.639	0.5136073	0.0000007	0.475
 10736	 206.2	114457	15.616	16.934	0.5541052	0.0000000	0.722
 10737	 189.8	132585	16.146	17.496	0.5139447	0.0000002	0.664
 10738	 105.6	208052	15.908	17.325	0.3410846	0.0000004	0.252
 10739	 215.1	92354	16.532	17.799	0.3449246	0.0000000	0.425
 10740	 174.1	149292	15.977	17.366	0.5068112	0.0000008	0.733
 10741	 158.2	12901	17.888	19.027	0.2676015	0.0000005	0.223
 10742	 224.7	7771	15.730	17.173	0.3918412	0.0000000	0.850
 10743	 206.1	108917	15.894	17.195	0.5356654	0.0000002	0.613
 10744	 174.2	155480	16.113	17.585	0.3557643	0.0000004	0.246
 10745	 215.2	101294	15.557	17.060	0.7294592	0.0000001	0.337
 10746	 105.8	151416	15.635	17.192	0.5619409	0.0000004	0.626
 10747	 105.5	145761	16.618	18.086	0.3179330	0.0000001	0.250
 10748	 183.1	148402	16.431	17.848	0.3163990	0.0000002	0.214
 10749	 144.6	54937	16.122	17.469	0.4422448	0.0000037	0.600
